"Reads","TimeStamp","Writes"
"0","7-5-2015 15:17:40","1991"
"0","7-5-2015 15:17:20","1684"
"0","7-5-2015 15:17:00","1974"
"0","7-5-2015 15:16:40","2053"
"0","7-5-2015 15:16:20","2053"
"0","7-5-2015 15:16:00","1493"
"0","7-5-2015 15:15:40","1835"
"0","7-5-2015 15:15:20","2154"
"0","7-5-2015 15:15:00","1639"
"0","7-5-2015 15:14:40","2368"
"0","7-5-2015 15:14:20","1830"
"0","7-5-2015 15:14:00","2073"
"0","7-5-2015 15:13:40","2216"
"0","7-5-2015 15:13:20","1990"
"35","7-5-2015 15:13:00","2190"
"0","7-5-2015 15:12:40","1836"
"0","7-5-2015 15:12:20","1633"
"0","7-5-2015 15:12:00","1559"
"0","7-5-2015 15:11:40","192"
"0","7-5-2015 15:11:20","246"
"0","7-5-2015 15:11:00","750"
"0","7-5-2015 15:10:40","925"
"0","7-5-2015 15:10:20","364"
"0","7-5-2015 15:10:00","210"
"0","7-5-2015 15:09:40","49"
"252","7-5-2015 15:24:20","175"
"34","7-5-2015 15:24:00","143"
"0","7-5-2015 15:23:40","426"
"87","7-5-2015 15:23:20","894"
"98","7-5-2015 15:23:00","798"
"9","7-5-2015 15:22:40","1157"
"32","7-5-2015 15:22:20","1409"
"98","7-5-2015 15:22:00","1006"
"16","7-5-2015 15:21:40","1364"
"25","7-5-2015 15:21:20","1390"
"100","7-5-2015 15:21:00","1846"
"19","7-5-2015 15:20:40","1823"
"112","7-5-2015 15:20:20","1787"
"41","7-5-2015 15:20:00","2099"
"24","7-5-2015 15:19:40","1945"
"43","7-5-2015 15:19:20","2150"
"353","7-5-2015 15:19:00","1897"
"91","7-5-2015 15:18:40","1626"
"41","7-5-2015 15:18:20","1989"
"43","7-5-2015 15:18:00","1875"
"27","7-5-2015 15:17:40","1991"
"113","7-5-2015 15:17:20","1684"
"108","7-5-2015 15:17:00","1975"
"24","7-5-2015 15:16:40","2053"
"44","7-5-2015 15:16:20","2053"
"44","7-5-2015 15:16:00","1493"
"86","7-5-2015 15:15:40","1836"
"32","7-5-2015 15:15:20","2154"
"109","7-5-2015 15:15:00","1639"
"23","7-5-2015 15:14:40","2368"
"109","7-5-2015 15:14:20","1830"
"560","7-5-2015 15:14:00","2073"
"31","7-5-2015 15:13:40","2216"
"51","7-5-2015 15:13:20","1990"
"321","7-5-2015 15:13:00","2190"
"90","7-5-2015 15:12:40","1836"
"55","7-5-2015 15:12:20","1633"
"44","7-5-2015 15:12:00","1559"
"28","7-5-2015 15:11:40","192"
"95","7-5-2015 15:11:20","246"
"107","7-5-2015 15:11:00","750"
"24","7-5-2015 15:10:40","925"
"30","7-5-2015 15:10:20","365"
"32","7-5-2015 15:10:00","210"
"78","7-5-2015 15:09:40","49"
"147","21-5-2015 12:01:20","0"
"20","21-5-2015 12:01:00","0"
"0","21-5-2015 12:00:40","0"
"20","21-5-2015 12:00:20","0"
"93","21-5-2015 12:00:00","0"
"64","21-5-2015 11:59:40","0"
"76","21-5-2015 11:59:20","0"
"40","21-5-2015 11:59:00","0"
"0","21-5-2015 11:58:40","0"
"92","21-5-2015 11:58:20","0"
"20","21-5-2015 11:58:00","0"
"0","21-5-2015 11:57:40","0"
"84","21-5-2015 11:57:20","0"
"21","21-5-2015 11:57:00","0"
"296","21-5-2015 11:56:40","0"
"17","21-5-2015 11:56:20","0"
"22","21-5-2015 11:56:00","0"
"9","21-5-2015 11:55:40","0"
"148","21-5-2015 11:55:20","0"
"22","21-5-2015 11:55:00","0"
"10","21-5-2015 11:54:40","0"
"30","21-5-2015 11:54:20","0"
"46","21-5-2015 11:54:00","0"
"78","21-5-2015 11:53:40","0"
"90","21-5-2015 11:53:20","0"
"21","21-5-2015 11:53:00","0"
"21","21-5-2015 11:52:40","0"
"112","21-5-2015 11:52:20","0"
"277","21-5-2015 11:52:00","0"
"1","21-5-2015 11:51:40","0"
"81","21-5-2015 11:51:20","0"
"49","21-5-2015 11:51:00","0"
"86","21-5-2015 11:50:40","0"
"45","21-5-2015 11:50:20","0"
"45","21-5-2015 11:50:00","0"
"24","21-5-2015 11:49:40","0"
"108","21-5-2015 11:49:20","0"
"118","21-5-2015 11:49:00","0"
"25","21-5-2015 11:48:40","0"
"40","21-5-2015 11:48:20","0"
"43","21-5-2015 11:48:00","0"
"88","21-5-2015 11:47:40","0"
"110","21-5-2015 11:47:20","0"
"37","21-5-2015 11:47:00","0"
"116","21-5-2015 11:46:40","0"
"0","21-5-2015 12:01:20","21"
"0","21-5-2015 12:01:00","21"
"0","21-5-2015 12:00:40","1"
"0","21-5-2015 12:00:20","21"
"0","21-5-2015 12:00:00","38"
"0","21-5-2015 11:59:40","4"
"0","21-5-2015 11:59:20","16"
"0","21-5-2015 11:59:00","46"
"0","21-5-2015 11:58:40","1"
"0","21-5-2015 11:58:20","30"
"0","21-5-2015 11:58:00","21"
"0","21-5-2015 11:57:40","80"
"0","21-5-2015 11:57:20","169"
"0","21-5-2015 11:57:00","245"
"0","21-5-2015 11:56:40","510"
"0","21-5-2015 11:56:20","1277"
"0","21-5-2015 11:56:00","223"
"0","21-5-2015 11:55:40","74"
"0","21-5-2015 11:55:20","650"
"0","21-5-2015 11:55:00","1249"
"0","21-5-2015 11:54:40","1170"
"0","21-5-2015 11:54:20","1640"
"0","21-5-2015 11:54:00","1140"
"0","21-5-2015 11:53:40","177"
"0","21-5-2015 11:53:20","814"
"0","21-5-2015 11:53:00","1797"
"0","21-5-2015 11:52:40","2315"
"0","21-5-2015 11:52:20","752"
"0","21-5-2015 11:52:00","121"
"0","21-5-2015 11:51:40","1951"
"0","21-5-2015 11:51:20","1880"
"0","21-5-2015 11:51:00","2034"
"0","21-5-2015 11:50:40","2359"
"0","21-5-2015 11:50:20","2099"
"0","21-5-2015 11:50:00","2344"
"0","21-5-2015 11:49:40","2046"
"0","21-5-2015 11:49:20","2168"
"0","21-5-2015 11:49:00","2506"
"0","21-5-2015 11:48:40","2413"
"0","21-5-2015 11:48:20","2022"
"0","21-5-2015 11:48:00","2033"
"0","21-5-2015 11:47:40","2106"
"0","21-5-2015 11:47:20","2207"
"0","21-5-2015 11:47:00","1797"
"0","21-5-2015 11:46:40","1930"
"147","21-5-2015 12:01:20","21"
"20","21-5-2015 12:01:00","21"
"0","21-5-2015 12:00:40","1"
"20","21-5-2015 12:00:20","22"
"93","21-5-2015 12:00:00","39"
"65","21-5-2015 11:59:40","4"
"76","21-5-2015 11:59:20","17"
"41","21-5-2015 11:59:00","47"
"1","21-5-2015 11:58:40","1"
"92","21-5-2015 11:58:20","30"
"20","21-5-2015 11:58:00","22"
"0","21-5-2015 11:57:40","80"
"84","21-5-2015 11:57:20","170"
"21","21-5-2015 11:57:00","246"
"297","21-5-2015 11:56:40","510"
"17","21-5-2015 11:56:20","1278"
"23","21-5-2015 11:56:00","223"
"10","21-5-2015 11:55:40","74"
"148","21-5-2015 11:55:20","650"
"22","21-5-2015 11:55:00","1249"
"10","21-5-2015 11:54:40","1170"
"31","21-5-2015 11:54:20","1640"
"46","21-5-2015 11:54:00","1140"
"78","21-5-2015 11:53:40","177"
"90","21-5-2015 11:53:20","814"
"22","21-5-2015 11:53:00","1798"
"22","21-5-2015 11:52:40","2315"
"112","21-5-2015 11:52:20","752"
"278","21-5-2015 11:52:00","121"
"1","21-5-2015 11:51:40","1952"
"82","21-5-2015 11:51:20","1880"
"49","21-5-2015 11:51:00","2034"
"87","21-5-2015 11:50:40","2360"
"45","21-5-2015 11:50:20","2099"
"45","21-5-2015 11:50:00","2344"
"24","21-5-2015 11:49:40","2046"
"108","21-5-2015 11:49:20","2168"
"119","21-5-2015 11:49:00","2507"
"25","21-5-2015 11:48:40","2413"
"41","21-5-2015 11:48:20","2023"
"43","21-5-2015 11:48:00","2033"
"89","21-5-2015 11:47:40","2106"
"110","21-5-2015 11:47:20","2207"
"38","21-5-2015 11:47:00","1798"
"117","21-5-2015 11:46:40","1931"
