"Reads","TimeStamp","Writes"
"1","21-5-2015 10:21:40","31"
"84","21-5-2015 10:21:20","60"
"83","21-5-2015 10:21:00","115"
"1","21-5-2015 10:20:40","27"
"19","21-5-2015 10:20:20","56"
"20","21-5-2015 10:20:00","55"
"1","21-5-2015 10:19:40","35"
"380","21-5-2015 10:19:20","55"
"54","21-5-2015 10:19:00","75"
"2","21-5-2015 10:18:40","37"
"20","21-5-2015 10:18:20","62"
"85","21-5-2015 10:18:00","59"
"2","21-5-2015 10:17:40","81"
"91","21-5-2015 10:17:20","58"
"19","21-5-2015 10:17:00","52"
"1","21-5-2015 10:16:40","44"
"83","21-5-2015 10:16:20","54"
"20","21-5-2015 10:16:00","55"
"1","21-5-2015 10:15:40","38"
"83","21-5-2015 10:15:20","52"
"20","21-5-2015 10:15:00","113"
"64","21-5-2015 10:14:40","33"
"20","21-5-2015 10:14:20","73"
"477","21-5-2015 10:14:00","76"
"1","21-5-2015 10:13:40","26"
"145","21-5-2015 10:13:20","50"
"19","21-5-2015 10:13:00","53"
"1","21-5-2015 10:12:40","30"
"26","21-5-2015 10:12:20","59"
"20","21-5-2015 10:12:00","54"
"65","21-5-2015 10:11:40","33"
"77","21-5-2015 10:11:20","55"
"20","21-5-2015 10:11:00","54"
"0","21-5-2015 10:10:40","27"
"84","21-5-2015 10:10:20","52"
"193","21-5-2015 10:55:00","0"
"0","21-5-2015 10:54:40","0"
"77","21-5-2015 10:54:20","0"
"33","21-5-2015 10:54:00","0"
"0","21-5-2015 10:53:40","0"
"77","21-5-2015 10:53:20","0"
"83","21-5-2015 10:53:00","0"
"0","21-5-2015 10:52:40","0"
"26","21-5-2015 10:52:20","0"
"19","21-5-2015 10:52:00","0"
"0","21-5-2015 10:51:40","0"
"147","21-5-2015 10:51:20","0"
"20","21-5-2015 10:51:00","0"
"0","21-5-2015 10:50:40","0"
"20","21-5-2015 10:50:20","0"
"253","21-5-2015 10:50:00","0"
"64","21-5-2015 10:49:40","0"
"77","21-5-2015 10:49:20","0"
"53","21-5-2015 10:49:00","0"
"0","21-5-2015 10:48:40","0"
"84","21-5-2015 10:48:20","0"
"19","21-5-2015 10:48:00","0"
"0","21-5-2015 10:47:40","0"
"89","21-5-2015 10:47:20","0"
"13","21-5-2015 10:47:00","0"
"754","21-5-2015 10:46:40","0"
"13","21-5-2015 10:46:20","0"
"20","21-5-2015 10:46:00","0"
"0","21-5-2015 10:45:40","0"
"147","21-5-2015 10:45:20","0"
"252","21-5-2015 10:45:00","0"
"2","21-5-2015 10:44:40","0"
"13","21-5-2015 10:44:20","0"
"208","21-5-2015 10:44:00","0"
"64","21-5-2015 10:43:40","0"
"76","21-5-2015 10:43:20","0"
"20","21-5-2015 10:43:00","0"
"0","21-5-2015 10:42:40","0"
"90","21-5-2015 10:42:20","0"
"20","21-5-2015 10:42:00","0"
"0","21-5-2015 10:41:40","0"
"77","21-5-2015 10:41:20","0"
"19","21-5-2015 10:41:00","0"
"64","21-5-2015 10:40:40","0"
"20","21-5-2015 10:40:20","0"
"19","21-5-2015 10:40:00","0"
"233","21-5-2015 10:39:40","0"
"147","21-5-2015 10:39:20","0"
"39","21-5-2015 10:39:00","0"
"1","21-5-2015 10:38:40","0"
"13","21-5-2015 10:38:20","0"
"20","21-5-2015 10:38:00","0"
"64","21-5-2015 10:37:40","0"
"90","21-5-2015 10:37:20","0"
"19","21-5-2015 10:37:00","0"
"0","21-5-2015 10:36:40","0"
"20","21-5-2015 10:36:20","0"
"83","21-5-2015 10:36:00","0"
"0","21-5-2015 10:35:40","0"
"83","21-5-2015 10:35:20","0"
"0","21-5-2015 10:55:00","28"
"0","21-5-2015 10:54:40","9"
"0","21-5-2015 10:54:20","18"
"0","21-5-2015 10:54:00","46"
"0","21-5-2015 10:53:40","9"
"0","21-5-2015 10:53:20","15"
"0","21-5-2015 10:53:00","27"
"0","21-5-2015 10:52:40","9"
"0","21-5-2015 10:52:20","28"
"0","21-5-2015 10:52:00","30"
"0","21-5-2015 10:51:40","9"
"0","21-5-2015 10:51:20","22"
"0","21-5-2015 10:51:00","28"
"0","21-5-2015 10:50:40","9"
"0","21-5-2015 10:50:20","24"
"0","21-5-2015 10:50:00","33"
"0","21-5-2015 10:49:40","9"
"0","21-5-2015 10:49:20","20"
"0","21-5-2015 10:49:00","48"
"0","21-5-2015 10:48:40","9"
"0","21-5-2015 10:48:20","22"
"0","21-5-2015 10:48:00","28"
"0","21-5-2015 10:47:40","9"
"0","21-5-2015 10:47:20","28"
"0","21-5-2015 10:47:00","21"
"0","21-5-2015 10:46:40","209"
"0","21-5-2015 10:46:20","15"
"0","21-5-2015 10:46:00","28"
"0","21-5-2015 10:45:40","10"
"0","21-5-2015 10:45:20","31"
"0","21-5-2015 10:45:00","95"
"0","21-5-2015 10:44:40","9"
"0","21-5-2015 10:44:20","17"
"35","21-5-2015 10:44:00","43"
"0","21-5-2015 10:43:40","9"
"0","21-5-2015 10:43:20","14"
"0","21-5-2015 10:43:00","28"
"0","21-5-2015 10:42:40","8"
"0","21-5-2015 10:42:20","27"
"0","21-5-2015 10:42:00","28"
"0","21-5-2015 10:41:40","8"
"0","21-5-2015 10:41:20","14"
"0","21-5-2015 10:41:00","28"
"0","21-5-2015 10:40:40","9"
"0","21-5-2015 10:40:20","23"
"0","21-5-2015 10:40:00","33"
"0","21-5-2015 10:39:40","16"
"0","21-5-2015 10:39:20","22"
"0","21-5-2015 10:39:00","48"
"1","21-5-2015 10:38:40","11"
"0","21-5-2015 10:38:20","15"
"0","21-5-2015 10:38:00","30"
"0","21-5-2015 10:37:40","18"
"0","21-5-2015 10:37:20","44"
"0","21-5-2015 10:37:00","39"
"0","21-5-2015 10:36:40","21"
"0","21-5-2015 10:36:20","38"
"0","21-5-2015 10:36:00","38"
"0","21-5-2015 10:35:40","17"
"0","21-5-2015 10:35:20","43"
"194","21-5-2015 10:55:00","28"
"0","21-5-2015 10:54:40","9"
"78","21-5-2015 10:54:20","18"
"33","21-5-2015 10:54:00","47"
"0","21-5-2015 10:53:40","9"
"78","21-5-2015 10:53:20","15"
"83","21-5-2015 10:53:00","28"
"1","21-5-2015 10:52:40","9"
"27","21-5-2015 10:52:20","28"
"19","21-5-2015 10:52:00","30"
"1","21-5-2015 10:51:40","9"
"147","21-5-2015 10:51:20","22"
"20","21-5-2015 10:51:00","28"
"0","21-5-2015 10:50:40","9"
"20","21-5-2015 10:50:20","24"
"253","21-5-2015 10:50:00","33"
"64","21-5-2015 10:49:40","10"
"78","21-5-2015 10:49:20","20"
"53","21-5-2015 10:49:00","48"
"1","21-5-2015 10:48:40","9"
"85","21-5-2015 10:48:20","22"
"19","21-5-2015 10:48:00","28"
"1","21-5-2015 10:47:40","9"
"89","21-5-2015 10:47:20","28"
"14","21-5-2015 10:47:00","21"
"754","21-5-2015 10:46:40","209"
"14","21-5-2015 10:46:20","15"
"20","21-5-2015 10:46:00","28"
"0","21-5-2015 10:45:40","10"
"148","21-5-2015 10:45:20","32"
"252","21-5-2015 10:45:00","95"
"3","21-5-2015 10:44:40","10"
"14","21-5-2015 10:44:20","17"
"244","21-5-2015 10:44:00","43"
"65","21-5-2015 10:43:40","10"
"76","21-5-2015 10:43:20","15"
"20","21-5-2015 10:43:00","28"
"0","21-5-2015 10:42:40","8"
"91","21-5-2015 10:42:20","28"
"20","21-5-2015 10:42:00","28"
"0","21-5-2015 10:41:40","8"
"78","21-5-2015 10:41:20","15"
"19","21-5-2015 10:41:00","28"
"65","21-5-2015 10:40:40","9"
"20","21-5-2015 10:40:20","23"
"19","21-5-2015 10:40:00","33"
"234","21-5-2015 10:39:40","17"
"147","21-5-2015 10:39:20","23"
"40","21-5-2015 10:39:00","48"
"3","21-5-2015 10:38:40","11"
"14","21-5-2015 10:38:20","15"
"20","21-5-2015 10:38:00","30"
"64","21-5-2015 10:37:40","19"
"91","21-5-2015 10:37:20","44"
"19","21-5-2015 10:37:00","39"
"1","21-5-2015 10:36:40","21"
"20","21-5-2015 10:36:20","39"
"83","21-5-2015 10:36:00","39"
"1","21-5-2015 10:35:40","17"
"83","21-5-2015 10:35:20","43"
