;G7B_MEM1;G7B_CPU1;G7B_5V_HDD;G7B_12V_HDD;T1;T2;T3;T4;T5;V1;V2;V3;V4;;Power_Mem;Power_CPU;Power_HDD5;Power_HDD12
32916149;0,585;0,878;4,134;0,782;49,6;32,1;49,4;50,2;63,6;1274;1273;497;1270; 9:38,505;7,4529;11,17694;20,54598;9,9314
32936150;0,585;0,875;4,108;0,782;49,6;32,1;49,4;50,2;63,5;1274;1273;497;1270; 9:59,890;7,4529;11,13875;20,41676;9,9314
32956151;0,589;0,881;4,125;0,782;49,6;32,1;49,4;50,2;63,6;1274;1273;497;1270; 10:21,698;7,50386;11,21513;20,50125;9,9314
32976152;0,592;0,884;4,121;0,782;49,6;32,1;49,4;50,2;63,5;1274;1273;497;1270; 10:43,472;7,54208;11,25332;20,48137;9,9314
32996153;0,585;0,868;4,115;0,785;49,6;32,1;49,4;50,2;63,5;1275;1274;497;1270; 11:4,931;7,45875;11,05832;20,45155;9,9695
33016154;0,585;0,875;4,131;0,782;49,6;32,1;49,4;50,2;63,6;1275;1273;497;1270; 11:26,732;7,45875;11,13875;20,53107;9,9314
33036155;0,585;0,878;4,115;0,782;49,6;32,1;49,4;50,2;63,5;1274;1273;497;1270; 11:49,549;7,4529;11,17694;20,45155;9,9314
33056156;0,585;0,875;4,121;0,782;49,6;32,1;49,4;50,2;63,6;1275;1273;497;1270; 12:11,359;7,45875;11,13875;20,48137;9,9314
33076157;0,589;0,881;4,125;0,782;49,6;32,1;49,3;50,2;63,6;1275;1274;497;1271; 12:32,816;7,50975;11,22394;20,50125;9,93922
33096158;0,589;0,878;4,15;0,782;49,6;32,1;49,4;50,2;63,5;1275;1274;497;1270; 12:55,21;7,50975;11,18572;20,6255;9,9314
33116159;0,585;0,878;4,154;0,782;49,6;32,1;49,4;50,2;63,6;1274;1273;497;1271; 13:18,296;7,4529;11,17694;20,64538;9,93922
33136160;0,592;0,884;4,144;0,775;49,5;32,1;49,4;50,2;63,6;1274;1274;497;1270; 13:39,727;7,54208;11,26216;20,59568;9,8425
33156161;0,585;0,875;4,141;0,775;49,5;32,1;49,3;50,2;63,6;1274;1274;497;1270; 14:1,238;7,4529;11,1475;20,58077;9,8425
33176162;0,585;0,878;4,141;0,778;49,5;32,1;49,3;50,2;63,6;1275;1274;497;1270; 14:22,628;7,45875;11,18572;20,58077;9,8806
33196163;0,585;0,875;4,144;0,778;49,5;32,1;49,3;50,2;63,6;1275;1274;497;1270; 14:44,148;7,45875;11,1475;20,59568;9,8806
33216164;0,585;0,875;4,128;0,782;49,5;32,1;49,3;50,2;63,6;1275;1274;497;1270; 15:6,363;7,45875;11,1475;20,51616;9,9314
33236165;0,602;0,891;4,144;0,782;49,5;32,1;49,3;50,2;63,6;1275;1273;497;1270; 15:28,138;7,6755;11,34243;20,59568;9,9314
33256166;0,589;0,881;4,154;0,782;49,5;32,1;49,3;50,2;63,6;1275;1274;497;1270; 15:52,116;7,50975;11,22394;20,64538;9,9314
33276167;0,585;0,878;4,15;0,782;49,5;32,1;49,3;50,2;63,6;1275;1273;497;1270; 16:14,358;7,45875;11,17694;20,6255;9,9314
33296168;0,585;0,878;4,154;0,782;49,5;32,1;49,3;50,2;63,6;1275;1274;497;1270; 16:35,686;7,45875;11,18572;20,64538;9,9314
33316169;0,585;0,875;4,154;0,782;49,5;32,1;49,3;50,2;63,6;1274;1273;497;1271; 16:57,524;7,4529;11,13875;20,64538;9,93922
33336170;0,585;0,878;4,16;0,782;49,5;32,1;49,3;50,2;63,6;1275;1274;497;1270; 17:19,541;7,45875;11,18572;20,6752;9,9314
33356171;0,585;0,875;4,154;0,782;49,5;32,1;49,3;50,2;63,6;1275;1274;497;1271; 17:41,597;7,45875;11,1475;20,64538;9,93922
33376172;0,585;0,875;4,154;0,778;49,5;32,1;49,3;50,2;63,6;1275;1274;497;1271; 18:2,836;7,45875;11,1475;20,64538;9,88838
33396173;0,585;0,875;4,144;0,775;49,6;32,1;49,3;50,2;63,6;1274;1274;497;1270; 18:24,670;7,4529;11,1475;20,59568;9,8425
