"TimeStamp","CPU","POWER","MEM"
"21-5-2015 10:46:00","0.66","11","3.99"
"21-5-2015 10:45:40","0.66","10","3.99"
"21-5-2015 10:45:20","0.53","9","3.99"
"21-5-2015 10:45:00","0.64","8","3.99"
"21-5-2015 10:44:40","0.71","10","1.99"
"21-5-2015 10:44:20","0.62","11","1.99"
"21-5-2015 10:44:00","0.64","10","1.99"
"21-5-2015 10:43:40","0.58","9","1.99"
"21-5-2015 10:43:20","0.54","9","1.99"
"21-5-2015 10:43:00","0.63","10","1.99"
"21-5-2015 10:42:40","0.64","9","1.99"
"21-5-2015 10:42:20","0.53","9","1.99"
"21-5-2015 10:42:00","0.58","11","0.99"
"21-5-2015 10:41:40","0.56","9","0.99"
"21-5-2015 10:41:20","0.54","9","0.99"
"21-5-2015 10:41:00","0.62","9","1.99"
"21-5-2015 10:40:40","0.59","9","1.99"
"21-5-2015 10:40:20","0.6","9","1.99"
"21-5-2015 10:40:00","0.62","9","1.99"
"21-5-2015 10:39:40","0.59","9","1.99"
"21-5-2015 10:39:20","0.61","9","1.99"
"21-5-2015 10:39:00","0.62","9","1.99"
"21-5-2015 10:38:40","0.59","10","1.99"
"21-5-2015 10:38:20","0.6","11","1.99"
"21-5-2015 10:38:00","0.61","10","4.99"
"21-5-2015 10:37:40","0.55","9","4.99"
"21-5-2015 10:37:20","0.59","10","4.99"
"21-5-2015 10:37:00","0.62","10","4.99"
"21-5-2015 10:36:40","0.61","9","4.99"
"21-5-2015 10:36:20","0.58","10","4.99"
"21-5-2015 10:36:00","0.59","9","3.99"
"21-5-2015 10:35:40","0.61","9","3.99"
"21-5-2015 10:35:20","0.59","9","3.99"
